
2016-10-26:13,이산화질소,보통,66,36,36,보통,25,17,보통,0.005,좋음,0.040,보통,0.5,좋음,0.003,좋음,N
2016-10-26:12,이산화질소,보통,56,34,35,보통,17,16,보통,0.006,좋음,0.034,보통,0.5,좋음,0.003,좋음,N
2016-10-26:11,PM10,보통,55,50,35,보통,16,15,좋음,0.006,좋음,0.032,보통,0.5,좋음,0.002,좋음,N
2016-10-26:10,이산화질소,보통,58,39,31,보통,14,15,좋음,0.003,좋음,0.035,보통,0.6,좋음,0.003,좋음,N
2016-10-26:09,이산화질소,보통,58,29,29,좋음,18,15,좋음,0.002,좋음,0.035,보통,0.7,좋음,0.004,좋음,N
2016-10-26:08,PM10,좋음,48,32,29,좋음,12,14,좋음,0.001,좋음,0.029,좋음,0.7,좋음,0.004,좋음,N
2016-10-26:07,PM2.5,좋음,50,28,28,좋음,20,15,좋음,0.001,좋음,0.027,좋음,0.6,좋음,0.003,좋음,N
2016-10-26:06,PM2.5,좋음,47,28,27,좋음,9,14,좋음,0.001,좋음,0.026,좋음,0.5,좋음,0.003,좋음,N
2016-10-26:05,PM2.5,좋음,50,30,28,좋음,18,15,좋음,0.001,좋음,0.027,좋음,0.5,좋음,0.003,좋음,N
2016-10-26:04,PM2.5,좋음,47,29,27,좋음,15,14,좋음,0.001,좋음,0.028,좋음,0.5,좋음,0.002,좋음,N
2016-10-26:03,PM2.5,좋음,47,24,26,좋음,18,14,좋음,0.001,좋음,0.028,좋음,0.5,좋음,0.002,좋음,N
2016-10-26:02,PM10,좋음,45,31,27,좋음,14,13,좋음,0.004,좋음,0.025,좋음,0.5,좋음,0.002,좋음,N
2016-10-26:01,PM2.5,좋음,43,28,26,좋음,14,13,좋음,0.003,좋음,0.025,좋음,0.4,좋음,0.002,좋음,N
2016-10-25:24,이산화질소,좋음,48,30,25,좋음,12,12,좋음,0.001,좋음,0.029,좋음,0.5,좋음,0.002,좋음,N
2016-10-25:23,이산화질소,보통,54,29,23,좋음,14,12,좋음,0.001,좋음,0.033,보통,0.6,좋음,0.002,좋음,N
2016-10-25:22,이산화질소,보통,56,30,22,좋음,13,12,좋음,0.001,좋음,0.034,보통,0.6,좋음,0.002,좋음,N
2016-10-25:21,이산화질소,보통,58,21,20,좋음,10,11,좋음,0.001,좋음,0.035,보통,0.6,좋음,0.002,좋음,N
2016-10-25:20,이산화질소,보통,58,18,20,좋음,12,12,좋음,0.001,좋음,0.035,보통,0.5,좋음,0.002,좋음,N
2016-10-25:19,이산화질소,보통,58,27,18,좋음,12,10,좋음,0.001,좋음,0.035,보통,0.5,좋음,0.002,좋음,N
2016-10-25:18,이산화질소,보통,56,21,16,좋음,14,10,좋음,0.003,좋음,0.034,보통,0.5,좋음,0.002,좋음,N
2016-10-25:17,이산화질소,보통,54,26,17,좋음,13,10,좋음,0.006,좋음,0.033,보통,0.4,좋음,0.002,좋음,N
2016-10-25:16,이산화질소,좋음,47,6,16,좋음,5,10,좋음,0.012,좋음,0.028,좋음,0.4,좋음,0.002,좋음,N
2016-10-25:15,PM2.5,좋음,37,15,18,좋음,9,11,좋음,0.021,좋음,0.017,좋음,0.3,좋음,0.002,좋음,N
2016-10-25:14,이산화질소,보통,61,28,18,좋음,16,11,좋음,0.004,좋음,0.037,보통,0.5,좋음,0.002,좋음,N
2016-10-25:13,이산화질소,보통,53,24,16,좋음,17,10,좋음,0.006,좋음,0.032,보통,0.5,좋음,0.002,좋음,N
2016-10-25:12,,,,16,14,좋음,5,,,0.011,좋음,0.024,좋음,0.4,좋음,0.002,좋음,N
2016-10-25:11,,,,9,13,좋음,,,,0.004,좋음,0.033,보통,0.4,좋음,0.002,좋음,N
2016-10-25:10,이산화질소,보통,61,14,14,좋음,4,8,좋음,0.003,좋음,0.037,보통,0.4,좋음,0.002,좋음,N
2016-10-25:09,이산화질소,좋음,48,7,14,좋음,,9,좋음,0.008,좋음,0.029,좋음,0.4,좋음,0.002,좋음,N
2016-10-25:08,PM2.5,좋음,30,7,16,좋음,4,9,좋음,0.017,좋음,0.016,좋음,0.3,좋음,0.001,좋음,N
2016-10-25:07,PM2.5,좋음,37,10,19,좋음,7,11,좋음,0.020,좋음,0.012,좋음,0.3,좋음,0.001,좋음,N
2016-10-25:06,PM2.5,좋음,40,13,21,좋음,8,12,좋음,0.021,좋음,0.010,좋음,0.3,좋음,0.001,좋음,N
2016-10-25:05,PM2.5,좋음,47,20,24,좋음,8,14,좋음,0.020,좋음,0.011,좋음,0.3,좋음,0.002,좋음,N
2016-10-25:04,PM2.5,좋음,50,21,24,좋음,17,15,좋음,0.019,좋음,0.011,좋음,0.3,좋음,0.001,좋음,N
2016-10-25:03,PM2.5,좋음,47,25,24,좋음,16,14,좋음,0.021,좋음,0.010,좋음,0.3,좋음,0.002,좋음,N
2016-10-25:02,PM2.5,좋음,43,28,24,좋음,18,13,좋음,0.023,좋음,0.010,좋음,0.3,좋음,0.001,좋음,N
2016-10-25:01,오존,좋음,38,18,22,좋음,13,11,좋음,0.023,좋음,0.012,좋음,0.3,좋음,0.002,좋음,N
2016-10-24:24,PM10,좋음,38,24,23,좋음,9,10,좋음,0.022,좋음,0.015,좋음,0.3,좋음,0.002,좋음,N
2016-10-24:23,이산화질소,좋음,42,23,24,좋음,15,11,좋음,0.014,좋음,0.025,좋음,0.3,좋음,0.003,좋음,N
2016-10-24:22,PM10,좋음,40,21,24,좋음,5,10,좋음,0.016,좋음,0.021,좋음,0.3,좋음,0.002,좋음,N
2016-10-24:21,이산화질소,보통,63,23,25,좋음,9,12,좋음,0.004,좋음,0.038,보통,0.4,좋음,0.003,좋음,N
2016-10-24:20,이산화질소,보통,65,27,25,좋음,11,12,좋음,0.003,좋음,0.039,보통,0.4,좋음,0.003,좋음,N
2016-10-24:19,이산화질소,보통,70,26,25,좋음,14,13,좋음,0.002,좋음,0.042,보통,0.5,좋음,0.003,좋음,N
2016-10-24:18,이산화질소,보통,58,33,23,좋음,20,12,좋음,0.010,좋음,0.035,보통,0.4,좋음,0.003,좋음,N
2016-10-24:17,오존,좋음,42,27,20,좋음,13,10,좋음,0.025,좋음,0.016,좋음,0.3,좋음,0.002,좋음,N
2016-10-24:16,오존,좋음,45,24,19,좋음,14,9,좋음,0.027,좋음,0.012,좋음,0.3,좋음,0.002,좋음,N
2016-10-24:15,오존,좋음,45,20,19,좋음,7,8,좋음,0.027,좋음,0.012,좋음,0.3,좋음,0.003,좋음,N
2016-10-24:14,오존,좋음,45,15,18,좋음,8,9,좋음,0.027,좋음,0.011,좋음,0.3,좋음,0.002,좋음,N
2016-10-24:13,오존,좋음,42,23,19,좋음,11,9,좋음,0.025,좋음,0.011,좋음,0.3,좋음,0.003,좋음,N
2016-10-24:12,오존,좋음,35,21,18,좋음,7,7,좋음,0.021,좋음,0.014,좋음,0.3,좋음,0.003,좋음,N
2016-10-24:11,PM10,좋음,28,17,17,좋음,10,7,좋음,0.017,좋음,0.015,좋음,0.3,좋음,0.002,좋음,N
2016-10-24:10,이산화질소,좋음,37,26,17,좋음,7,7,좋음,0.010,좋음,0.022,좋음,0.3,좋음,0.003,좋음,N
2016-10-24:09,이산화질소,좋음,50,11,15,좋음,3,7,좋음,0.004,좋음,0.030,좋음,0.4,좋음,0.003,좋음,N
2016-10-24:08,이산화질소,보통,51,18,15,좋음,7,9,좋음,0.002,좋음,0.031,보통,0.4,좋음,0.003,좋음,N
2016-10-24:07,이산화질소,좋음,42,15,15,좋음,9,9,좋음,0.002,좋음,0.025,좋음,0.3,좋음,0.003,좋음,N
2016-10-24:06,이산화질소,좋음,32,16,14,좋음,7,9,좋음,0.003,좋음,0.019,좋음,0.3,좋음,0.002,좋음,N
2016-10-24:05,PM2.5,좋음,30,15,14,좋음,11,9,좋음,0.006,좋음,0.016,좋음,0.3,좋음,0.002,좋음,N
2016-10-24:04,PM2.5,좋음,27,16,14,좋음,11,8,좋음,0.007,좋음,0.015,좋음,0.3,좋음,0.002,좋음,N
2016-10-24:03,PM2.5,좋음,27,11,14,좋음,10,8,좋음,0.008,좋음,0.015,좋음,0.3,좋음,0.002,좋음,N
2016-10-24:02,이산화질소,좋음,28,16,14,좋음,6,7,좋음,0.005,좋음,0.017,좋음,0.3,좋음,0.002,좋음,N
2016-10-24:01,이산화질소,좋음,28,19,14,좋음,8,8,좋음,0.007,좋음,0.017,좋음,0.3,좋음,0.002,좋음,N
2016-10-23:24,이산화질소,좋음,40,10,12,좋음,8,8,좋음,0.004,좋음,0.024,좋음,0.3,좋음,0.002,좋음,N
2016-10-23:23,이산화질소,좋음,32,15,12,좋음,6,7,좋음,0.011,좋음,0.019,좋음,0.3,좋음,0.002,좋음,N
2016-10-23:22,이산화질소,좋음,28,12,12,좋음,10,7,좋음,0.013,좋음,0.017,좋음,0.3,좋음,0.002,좋음,N
2016-10-23:21,이산화질소,좋음,38,13,11,좋음,10,6,좋음,0.010,좋음,0.023,좋음,0.3,좋음,0.002,좋음,N
2016-10-23:20,이산화질소,좋음,30,11,11,좋음,6,6,좋음,0.013,좋음,0.018,좋음,0.3,좋음,0.002,좋음,N
2016-10-23:19,이산화질소,좋음,45,16,11,좋음,4,6,좋음,0.008,좋음,0.027,좋음,0.3,좋음,0.002,좋음,N
2016-10-23:18,이산화질소,좋음,28,6,11,좋음,3,7,좋음,0.015,좋음,0.017,좋음,0.3,좋음,0.002,좋음,N
2016-10-23:17,이산화질소,좋음,30,13,12,좋음,13,7,좋음,0.016,좋음,0.018,좋음,0.3,좋음,0.002,좋음,N
