,,,,,,,,,,,,,,,,,,
운중동 ( 경기 성남시 분당구 운중동 935 운중동주민센터 ),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
날짜,통합대기환경지수,,,PM10,,,PM2.5,,,오존,,이산화질소,,일산화탄소,,아황산가스,,"최종확정
여 부"
(년-월-일:시),,,,(㎍/㎥),,,(㎍/㎥),,,(ppm),,(ppm),,(ppm),,(ppm),,
,주오염물질,등급,지수,1시간,24시간,등급,1시간,24시간,등급,1시간,등급,1시간,등급,1시간,등급,1시간,등급,
2017-05-23:15,PM10,보통,65,35,45,보통,18,23,보통,0.043,보통,0.012,좋음,0.3,좋음,0.004,좋음,N
2017-05-23:14,PM10,보통,66,55,46,보통,26,23,보통,0.044,보통,0.014,좋음,0.3,좋음,0.005,좋음,N
2017-05-23:13,PM10,보통,64,54,44,보통,26,23,보통,0.044,보통,0.019,좋음,0.4,좋음,0.007,좋음,N
2017-05-23:12,PM10,보통,62,48,42,보통,27,22,보통,0.035,보통,0.021,좋음,0.3,좋음,0.007,좋음,N
2017-05-23:11,PM10,보통,60,45,40,보통,17,21,보통,0.023,좋음,0.027,좋음,0.4,좋음,0.007,좋음,N
2017-05-23:10,PM2.5,보통,58,41,38,보통,22,21,보통,0.014,좋음,0.030,좋음,0.4,좋음,0.004,좋음,N
2017-05-23:09,PM2.5,보통,58,41,37,보통,22,21,보통,0.015,좋음,0.024,좋음,0.3,좋음,0.004,좋음,N
2017-05-23:08,이산화질소,보통,58,40,37,보통,22,20,보통,0.005,좋음,0.035,보통,0.5,좋음,0.004,좋음,N
2017-05-23:07,PM2.5,보통,58,35,36,보통,23,21,보통,0.003,좋음,0.035,보통,0.4,좋음,0.003,좋음,N
2017-05-23:06,이산화질소,보통,59,38,37,보통,22,20,보통,0.001,좋음,0.036,보통,0.4,좋음,0.003,좋음,N
2017-05-23:05,PM2.5,보통,58,37,37,보통,20,21,보통,0.002,좋음,0.035,보통,0.4,좋음,0.003,좋음,N
2017-05-23:04,PM10,보통,59,35,39,보통,22,21,보통,0.003,좋음,0.034,보통,0.4,좋음,0.002,좋음,N
2017-05-23:03,PM10,보통,61,33,41,보통,21,20,보통,0.007,좋음,0.027,좋음,0.3,좋음,0.002,좋음,N
2017-05-23:02,PM10,보통,61,38,41,보통,22,20,보통,0.005,좋음,0.029,좋음,0.4,좋음,0.002,좋음,N
2017-05-23:01,이산화질소,보통,63,47,41,보통,22,20,보통,0.003,좋음,0.038,보통,0.4,좋음,0.003,좋음,N
2017-05-22:24,이산화질소,보통,73,35,40,보통,13,19,보통,0.002,좋음,0.044,보통,0.4,좋음,0.004,좋음,N
2017-05-22:23,이산화질소,보통,76,26,42,보통,15,21,보통,0.004,좋음,0.046,보통,0.4,좋음,0.004,좋음,N
2017-05-22:22,PM10,보통,68,30,48,보통,16,23,보통,0.012,좋음,0.041,보통,0.4,좋음,0.004,좋음,N
2017-05-22:21,PM10,보통,71,33,51,보통,12,24,보통,0.020,좋음,0.039,보통,0.3,좋음,0.004,좋음,N
2017-05-22:20,PM10,보통,75,43,55,보통,23,27,보통,0.035,보통,0.034,보통,0.3,좋음,0.005,좋음,N
2017-05-22:19,PM10,보통,75,59,55,보통,25,27,보통,0.053,보통,0.029,좋음,0.3,좋음,0.007,좋음,N
2017-05-22:18,오존,보통,84,45,55,보통,26,26,보통,0.071,보통,0.018,좋음,0.3,좋음,0.005,좋음,N
2017-05-22:17,오존,보통,93,59,57,보통,29,26,보통,0.082,보통,0.015,좋음,0.3,좋음,0.004,좋음,N
2017-05-22:16,오존,보통,88,70,57,보통,32,25,보통,0.076,보통,0.018,좋음,0.3,좋음,0.006,좋음,N
2017-05-22:15,PM10,보통,77,66,57,보통,31,26,보통,0.062,보통,0.025,좋음,0.4,좋음,0.006,좋음,N
2017-05-22:14,PM10,보통,76,63,56,보통,29,25,보통,0.046,보통,0.026,좋음,0.4,좋음,0.005,좋음,N
2017-05-22:13,PM10,보통,73,66,53,보통,32,24,보통,0.045,보통,0.022,좋음,0.3,좋음,0.005,좋음,N
2017-05-22:12,PM10,보통,70,60,50,보통,27,24,보통,0.045,보통,0.015,좋음,0.4,좋음,0.005,좋음,N
2017-05-22:11,PM10,보통,65,67,45,보통,30,24,보통,0.025,좋음,0.029,좋음,0.4,좋음,0.006,좋음,N
2017-05-22:10,PM2.5,보통,60,49,39,보통,23,22,보통,0.020,좋음,0.034,보통,0.4,좋음,0.006,좋음,N
2017-05-22:09,PM2.5,보통,58,47,36,보통,25,21,보통,0.018,좋음,0.031,보통,0.4,좋음,0.005,좋음,N
2017-05-22:08,PM2.5,보통,58,29,35,보통,21,21,보통,0.012,좋음,0.032,보통,0.4,좋음,0.004,좋음,N
2017-05-22:07,이산화질소,보통,59,28,37,보통,13,21,보통,0.006,좋음,0.036,보통,0.4,좋음,0.004,좋음,N
2017-05-22:06,PM2.5,보통,60,34,39,보통,20,22,보통,0.006,좋음,0.033,보통,0.4,좋음,0.004,좋음,N
2017-05-22:05,PM2.5,보통,61,36,41,보통,20,23,보통,0.013,좋음,0.024,좋음,0.3,좋음,0.004,좋음,N
2017-05-22:04,PM2.5,보통,63,46,41,보통,32,24,보통,0.015,좋음,0.023,좋음,0.3,좋음,0.004,좋음,N
2017-05-22:03,PM2.5,보통,63,44,40,보통,25,24,보통,0.013,좋음,0.029,좋음,0.4,좋음,0.004,좋음,N
2017-05-22:02,PM2.5,보통,61,48,39,보통,28,23,보통,0.010,좋음,0.033,보통,0.4,좋음,0.004,좋음,N
2017-05-22:01,PM2.5,보통,58,38,36,보통,28,21,보통,0.014,좋음,0.028,좋음,0.4,좋음,0.004,좋음,N
2017-05-21:24,이산화질소,보통,65,43,36,보통,27,20,보통,0.010,좋음,0.039,보통,0.4,좋음,0.003,좋음,N
2017-05-21:23,이산화질소,보통,66,38,35,보통,21,18,보통,0.011,좋음,0.040,보통,0.4,좋음,0.003,좋음,N
2017-05-21:22,이산화질소,보통,58,30,34,보통,16,17,보통,0.017,좋음,0.035,보통,0.4,좋음,0.003,좋음,N
2017-05-21:21,PM10,보통,54,34,34,보통,20,17,보통,0.024,좋음,0.028,좋음,0.3,좋음,0.002,좋음,N
2017-05-21:20,PM10,보통,53,39,33,보통,20,16,보통,0.034,보통,0.023,좋음,0.3,좋음,0.003,좋음,N
2017-05-21:19,오존,보통,61,34,32,보통,13,15,좋음,0.043,보통,0.017,좋음,0.3,좋음,0.003,좋음,N
2017-05-21:18,오존,보통,67,24,33,보통,13,16,보통,0.050,보통,0.014,좋음,0.3,좋음,0.003,좋음,N
