,,,,,,,,,,,,,,,,,,
운중동 ( 경기 성남시 분당구 운중동 935 운중동주민센터 ),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
날짜,통합대기환경지수,,,PM10,,,PM2.5,,,오존,,이산화질소,,일산화탄소,,아황산가스,,"최종확정
여 부"
(년-월-일:시),,,,(㎍/㎥),,,(㎍/㎥),,,(ppm),,(ppm),,(ppm),,(ppm),,
,주오염물질,등급,지수,1시간,24시간,등급,1시간,24시간,등급,1시간,등급,1시간,등급,1시간,등급,1시간,등급,
2017-05-17:10,이산화질소,보통,83,46,35,보통,18,15,좋음,0.013,좋음,0.050,보통,0.5,좋음,0.006,좋음,N
2017-05-17:09,이산화질소,보통,78,50,32,보통,27,14,좋음,0.012,좋음,0.047,보통,0.5,좋음,0.005,좋음,N
2017-05-17:08,이산화질소,보통,68,31,29,좋음,10,12,좋음,0.009,좋음,0.041,보통,0.5,좋음,0.004,좋음,N
2017-05-17:07,이산화질소,보통,58,20,29,좋음,7,14,좋음,0.008,좋음,0.035,보통,0.4,좋음,0.003,좋음,N
2017-05-17:06,이산화질소,보통,58,32,31,보통,15,15,좋음,0.007,좋음,0.035,보통,0.4,좋음,0.003,좋음,N
2017-05-17:05,이산화질소,보통,54,27,31,보통,16,15,좋음,0.009,좋음,0.033,보통,0.4,좋음,0.003,좋음,N
2017-05-17:04,이산화질소,보통,58,31,33,보통,19,15,좋음,0.009,좋음,0.035,보통,0.4,좋음,0.003,좋음,N
2017-05-17:03,이산화질소,보통,56,26,33,보통,13,14,좋음,0.011,좋음,0.034,보통,0.4,좋음,0.003,좋음,N
2017-05-17:02,이산화질소,보통,58,27,35,보통,16,13,좋음,0.010,좋음,0.035,보통,0.4,좋음,0.003,좋음,N
2017-05-17:01,이산화질소,보통,70,43,35,보통,15,12,좋음,0.009,좋음,0.042,보통,0.4,좋음,0.003,좋음,N
2017-05-16:24,이산화질소,보통,66,28,34,보통,12,12,좋음,0.013,좋음,0.040,보통,0.4,좋음,0.002,좋음,N
2017-05-16:23,이산화질소,보통,70,28,36,보통,8,13,좋음,0.018,좋음,0.042,보통,0.4,좋음,0.003,좋음,N
2017-05-16:22,PM10,보통,58,28,38,보통,8,14,좋음,0.030,좋음,0.027,좋음,0.3,좋음,0.003,좋음,N
2017-05-16:21,PM10,보통,61,35,41,보통,16,16,보통,0.031,보통,0.030,좋음,0.3,좋음,0.004,좋음,N
2017-05-16:20,이산화질소,보통,68,42,43,보통,17,16,보통,0.025,좋음,0.041,보통,0.4,좋음,0.004,좋음,N
2017-05-16:19,PM10,보통,62,38,42,보통,9,15,좋음,0.036,보통,0.030,좋음,0.3,좋음,0.004,좋음,N
2017-05-16:18,PM10,보통,64,46,44,보통,18,17,보통,0.041,보통,0.027,좋음,0.3,좋음,0.004,좋음,N
2017-05-16:17,오존,보통,65,44,41,보통,18,15,좋음,0.048,보통,0.021,좋음,0.3,좋음,0.004,좋음,N
2017-05-16:16,오존,보통,67,43,40,보통,12,15,좋음,0.050,보통,0.018,좋음,0.3,좋음,0.005,좋음,N
2017-05-16:15,오존,보통,68,52,40,보통,19,16,보통,0.052,보통,0.018,좋음,0.3,좋음,0.004,좋음,N
2017-05-16:14,오존,보통,63,24,39,보통,9,17,보통,0.045,보통,0.020,좋음,0.3,좋음,0.004,좋음,N
2017-05-16:13,PM10,보통,62,42,42,보통,18,18,보통,0.036,보통,0.023,좋음,0.3,좋음,0.003,좋음,N
2017-05-16:12,PM10,보통,62,45,42,보통,21,18,보통,0.033,보통,0.024,좋음,0.3,좋음,0.003,좋음,N
2017-05-16:11,PM10,보통,60,50,40,보통,23,16,보통,0.030,좋음,0.027,좋음,0.4,좋음,0.004,좋음,N
2017-05-16:10,PM10,보통,58,48,38,보통,19,15,좋음,0.026,좋음,0.027,좋음,0.4,좋음,0.004,좋음,N
2017-05-16:09,PM10,보통,55,42,35,보통,15,14,좋음,0.025,좋음,0.025,좋음,0.4,좋음,0.004,좋음,N
2017-05-16:08,PM10,보통,53,31,33,보통,10,14,좋음,0.023,좋음,0.022,좋음,0.3,좋음,0.003,좋음,N
2017-05-16:07,PM10,보통,53,31,33,보통,18,14,좋음,0.013,좋음,0.030,좋음,0.3,좋음,0.002,좋음,N
2017-05-16:06,PM10,보통,53,35,33,보통,13,13,좋음,0.020,좋음,0.021,좋음,0.3,좋음,0.003,좋음,N
2017-05-16:05,PM10,보통,54,31,34,보통,11,13,좋음,0.022,좋음,0.015,좋음,0.3,좋음,0.002,좋음,N
2017-05-16:04,PM10,보통,55,31,35,보통,14,15,좋음,0.027,좋음,0.013,좋음,0.3,좋음,0.002,좋음,N
2017-05-16:03,PM10,보통,58,36,38,보통,14,15,좋음,0.029,좋음,0.015,좋음,0.3,좋음,0.002,좋음,N
2017-05-16:02,PM10,보통,58,41,38,보통,15,15,좋음,0.027,좋음,0.018,좋음,0.3,좋음,0.002,좋음,N
2017-05-16:01,PM10,보통,56,40,36,보통,25,14,좋음,0.027,좋음,0.019,좋음,0.3,좋음,0.003,좋음,N
