,dateTime,temperature,humidity,Sharp measured voltage[mv],measurement of certified station
0,2017-05-16 17:00:00,24.75,42.4,45.0,18.0
1,2017-05-16 18:00:00,24.043333333333354,46.70833333333335,37.71666666666664,18.0
2,2017-05-16 19:00:00,23.630000000000003,46.61833333333333,32.30000000000001,9.0
3,2017-05-16 20:00:00,23.101666666666684,46.231666666666676,32.26666666666665,17.0
4,2017-05-16 21:00:00,22.76166666666667,43.90499999999998,28.51666666666665,16.0
5,2017-05-16 22:00:00,22.656666666666688,44.258333333333326,28.866666666666674,8.0
6,2017-05-16 23:00:00,22.791666666666647,44.18166666666666,29.083333333333314,8.0
7,2017-05-17 00:00:00,22.703333333333358,44.04333333333333,29.80000000000001,12.0
8,2017-05-17 01:00:00,22.64406779661016,44.42881355932204,29.91525423728814,15.0
9,2017-05-17 02:00:00,22.51694915254238,45.52542372881357,29.677966101694892,16.0
10,2017-05-17 03:00:00,22.374999999999982,46.28666666666667,28.23333333333335,13.0
11,2017-05-17 04:00:00,22.242372881355955,46.86440677966102,30.559322033898297,19.0
12,2017-05-17 05:00:00,22.123333333333324,47.046666666666646,30.633333333333326,16.0
13,2017-05-17 06:00:00,22.081666666666653,47.60833333333333,31.399999999999977,15.0
14,2017-05-17 07:00:00,22.08166666666666,47.936666666666675,35.01666666666665,7.0
15,2017-05-17 08:00:00,22.10000000000001,48.23000000000001,36.71666666666664,10.0
16,2017-05-17 09:00:00,22.240000000000006,47.86833333333337,37.833333333333314,27.0
17,2017-05-17 10:00:00,22.50166666666668,48.20166666666667,39.26666666666665,18.0
20,2017-05-17 13:00:00,23.65333333333335,42.471666666666664,35.083333333333314,19.0
21,2017-05-17 14:00:00,23.916666666666668,40.67833333333335,34.18333333333334,16.0
22,2017-05-17 15:00:00,24.061111111111117,39.605555555555554,29.611111111111086,16.0
23,2017-05-17 17:00:00,24.508333333333336,43.51666666666666,33.333333333333314,23.0
24,2017-05-17 18:00:00,24.790909090909093,42.66363636363635,13.393939393939377,13.0
25,2017-05-17 19:00:00,24.388888888888893,43.61481481481482,36.25925925925924,18.0
26,2017-05-18 10:00:00,23.659999999999993,39.279999999999994,14.666666666666686,21.0
27,2017-05-18 11:00:00,24.691666666666663,39.054166666666674,24.791666666666686,30.0
28,2017-05-18 12:00:00,25.169999999999995,38.68666666666666,27.23333333333335,29.0
29,2017-05-18 13:00:00,25.323333333333323,37.48333333333334,26.600000000000023,27.0
30,2017-05-18 14:00:00,25.563333333333333,36.5,25.899999999999977,36.0
31,2017-05-18 15:00:00,25.486206896551728,36.686206896551724,36.586206896551744,32.0
32,2017-05-18 16:00:00,25.120000000000015,37.53,40.80000000000001,31.0
33,2017-05-18 17:00:00,25.26333333333333,36.99666666666667,40.03333333333336,32.0
34,2017-05-18 18:00:00,25.09,38.67333333333333,41.93333333333334,29.0
35,2017-05-18 19:00:00,24.690000000000005,41.40000000000001,40.10000000000002,30.0
36,2017-05-18 20:00:00,24.389999999999983,41.12999999999999,41.56666666666666,29.0
37,2017-05-18 21:00:00,24.256666666666682,40.016666666666666,39.43333333333334,27.0
38,2017-05-18 22:00:00,24.02333333333333,39.97666666666667,39.56666666666666,26.0
39,2017-05-18 23:00:00,23.89666666666665,40.66333333333335,38.366666666666674,32.0
40,2017-05-19 00:00:00,23.849999999999984,40.91666666666665,36.93333333333334,21.0
41,2017-05-19 01:00:00,23.73000000000001,41.36333333333332,35.0,29.0
42,2017-05-19 02:00:00,23.660000000000007,42.10333333333333,35.80000000000001,37.0
43,2017-05-19 03:00:00,23.58000000000001,43.006666666666675,39.46666666666664,33.0
44,2017-05-19 04:00:00,23.493333333333332,43.94000000000001,35.26666666666665,32.0
45,2017-05-19 05:00:00,23.393333333333317,44.63666666666668,39.866666666666674,24.0
46,2017-05-19 06:00:00,23.363333333333326,45.03333333333333,40.166666666666686,24.0
47,2017-05-19 07:00:00,23.399999999999988,45.10000000000001,39.03333333333336,20.0
48,2017-05-19 08:00:00,23.466666666666665,44.79333333333333,41.56666666666666,21.0
49,2017-05-19 09:00:00,23.486666666666665,42.58666666666667,35.133333333333326,32.0
50,2017-05-19 10:00:00,23.50333333333334,39.95666666666666,35.89999999999998,24.0
51,2017-05-19 11:00:00,23.753333333333327,38.586666666666666,35.39999999999998,22.0
52,2017-05-19 12:00:00,24.110000000000003,35.36333333333334,35.76666666666665,25.0
53,2017-05-19 13:00:00,24.443333333333335,35.36,35.06666666666666,22.0
54,2017-05-19 14:00:00,24.739999999999988,34.38666666666666,37.06666666666666,17.0
55,2017-05-19 15:00:00,24.976666666666667,32.86333333333332,34.46666666666664,20.0
56,2017-05-19 16:00:00,25.00909090909091,32.75454545454545,32.72727272727275,21.0
57,2017-05-22 10:00:00,24.933333333333334,51.26666666666666,41.333333333333314,23.0
58,2017-05-22 11:00:00,25.52333333333333,49.233333333333334,33.03333333333336,30.0
59,2017-05-22 12:00:00,26.186666666666653,46.20000000000001,31.600000000000023,27.0
60,2017-05-22 13:00:00,26.55666666666666,43.66666666666665,32.333333333333314,32.0
61,2017-05-22 14:00:00,26.929999999999993,44.3,37.23333333333335,29.0
62,2017-05-22 15:00:00,27.3,45.07931034482758,43.758620689655174,31.0
63,2017-05-22 16:00:00,27.846666666666657,43.196666666666665,44.366666666666674,32.0
64,2017-05-22 17:00:00,28.15333333333333,40.95666666666666,34.73333333333335,29.0
65,2017-05-22 18:00:00,28.023333333333337,36.85666666666666,25.23333333333335,26.0
66,2017-05-22 19:00:00,27.243333333333325,34.833333333333336,26.433333333333337,25.0
